"Period","Event Type","Name","Start (mm:ss)","Event Time (mm:ss)","Stop (mm:ss)","Start (ms)","Stop (ms)","Players","Teams","Tags","X Start","Y Start","X End","Y End","","","","","","","","","","",""
"1","Substitution","Lineup","00:00","00:00","00:00","0","0","","","","","","","","","","","","","","","","","",""
"1","Kick-off","Kick-off 001","01:21","01:31","01:41","81970","101970","#20 Ojakangas E.","","Outcome: 1st half | New subcategory 2: Right","","","","","","","","","","","","","","",""
"1","Pass","Pass 001","01:26","01:32","01:36","86970","96970","#20 Ojakangas E.","","Outcome: Pass | New subcategory 2: success","0.500","0.496","0.690","0.496","","","","","","","","","","",""
"1","Pass","Pass 002","01:32","01:38","01:42","92130","102130","#30 Lehtinen Lassi","","Outcome: Pass | New subcategory 2: failed","0.671","0.541","0.391","0.830","","","","","","","","","","",""
"1","extraction ","extraction  001","01:34","01:44","01:54","94410","114410","#30 Lehtinen Lassi","","Outcome: recovery","0.723","0.733","","","","","","","","","","","","",""
"1","Pass","Pass 003","01:39","01:45","01:49","99110","109110","#30 Lehtinen Lassi","","Outcome: Pass | New subcategory 2: success","0.723","0.689","0.600","0.889","","","","","","","","","","",""
"1","Pass","Pass 004","01:41","01:47","01:51","101330","111330","#15 laine S.","","New subcategory 2: success | Outcome: Pass","0.642","0.948","0.746","0.881","","","","","","","","","","",""
"1","extraction ","extraction  002","01:43","01:53","02:03","103070","123070","#40 Puhakainen L.","","Outcome: clearance","0.713","0.874","","","","","","","","","","","","",""
"1","pressing","pressing 001","01:53","02:03","02:13","113130","133130","#11 Reiju R.","","","0.320","0.222","0.277","0.178","","","","","","","","","","",""
"1","Ground","Ground 001","02:04","02:10","02:14","124810","134810","#8 O. Adawi","","New subcategory 1: Defensive | New subcategory 2: Failure","0.566","0.252","","","","","","","","","","","","",""
"1","P/A","P/A 001","02:01","02:11","02:21","121590","141590","","","Outcome: Success | : progressive","0.382","0.296","0.600","0.296","","","","","","","","","","",""
"1","pressing","pressing 002","02:13","02:23","02:33","133550","153550","#29 Haapalainen R.","","","0.600","0.778","0.543","0.785","","","","","","","","","","",""
"1","pressing","pressing 003","02:16","02:26","02:36","136970","156970","#10 Talvitie E.","","","0.415","0.474","0.344","0.496","","","","","","","","","","",""
"1","extraction ","extraction  003","02:21","02:31","02:41","141670","161670","#20 Ojakangas E.","","Outcome: interception","0.448","0.185","","","","","","","","","","","","",""
"1","Pass","Pass 005","02:30","02:36","02:40","150330","160330","#20 Ojakangas E.","","Outcome: Pass | New subcategory 2: failed","0.382","0.267","0.268","0.363","","","","","","","","","","",""
"1","counter pressing","counter pressing 001","02:30","02:40","02:50","150410","170410","#6 Marshall P.","","New subcategory 1: success","0.358","0.378","","","","","","","","","","","","",""
"1","Pass","Pass 006","02:34","02:40","02:44","154950","164950","#6 Marshall P.","","Outcome: Pass | New subcategory 2: success","0.320","0.281","0.197","0.126","","","","","","","","","","",""
"1","Pass","Pass 007","02:37","02:43","02:47","157270","167270","#11 Reiju R.","","Outcome: Cross | New subcategory 2: failed","0.149","0.096","0.031","0.207","","","","","","","","","","",""
"1","Pass","Pass 008","03:13","03:19","03:23","193710","203710","#10 Talvitie E.","","Outcome: Corner | New subcategory 2: failed","0.017","0.015","0.045","0.356","","","","","","","","","","",""
"1","extraction ","extraction  004","03:12","03:22","03:32","192770","212770","#6 Marshall P.","","Outcome: interception","0.291","0.296","","","","","","","","","","","","",""
"1","Pass","Pass 009","03:17","03:23","03:27","197250","207250","#6 Marshall P.","","Outcome: Pass | New subcategory 2: success","0.306","0.281","0.159","0.081","","","","","","","","","","",""
"1","Shot","Shot 001","03:19","03:26","03:31","199130","211130","#10 Talvitie E.","","New subcategory 1: Off target | New subcategory 2: open ","0.154","0.289","0.121","0.348","","","","","","","","","","",""
"1","Miscontrol","Miscontrol 001","03:23","03:29","03:33","203170","213170","#6 Marshall P.","","","0.211","0.341","","","","","","","","","","","","",""
"1","extraction ","extraction  005","03:23","03:33","03:43","203130","223130","#20 Ojakangas E.","","Outcome: interception","0.457","0.674","","","","","","","","","","","","",""
"1","Pass","Pass 010","03:29","03:35","03:39","209810","219810","#20 Ojakangas E.","","Outcome: Pass | New subcategory 2: success","0.462","0.689","0.405","0.904","","","","","","","","","","",""
"1","Miscontrol","Miscontrol 002","03:31","03:37","03:41","211070","221070","#15 laine S.","","","0.391","0.948","","","","","","","","","","","","",""
